stadium,full_team_name,team,team_abbr,team_logo,team_hashtag
Chase Field,Arizona Diamondbacks,diamondbacks,ARI,https://a.espncdn.com/i/teamlogos/mlb/500/ari.png,RattleOn
Truist Park,Atlanta Braves,braves,ATL,https://a.espncdn.com/i/teamlogos/mlb/500/atl.png,ForTheA
Oriole Park at Camden Yards,Baltimore Orioles,orioles,BAL,https://a.espncdn.com/i/teamlogos/mlb/500/bal.png,Birdland
Fenway Park,Boston Red Sox,red_sox,BOS,https://a.espncdn.com/i/teamlogos/mlb/500/bos.png,DirtyWater
Wrigley Field,Chicago Cubs,cubs,CHC,https://a.espncdn.com/i/teamlogos/mlb/500/chc.png,CubTogether
Guaranteed Rate Field,Chicago White Sox,white_sox,CWS,https://a.espncdn.com/i/teamlogos/mlb/500/chw.png,ChangeTheGame
Great American Ballpark,Cincinnati Reds,reds,CIN,https://a.espncdn.com/i/teamlogos/mlb/500/cin.png,ATOBTTR
Progressive Field,Cleveland Indians,indians,CLE,https://a.espncdn.com/i/teamlogos/mlb/500/cle.png,OurCLE
Coors Field,Colorado Rockies,rockies,COL,https://a.espncdn.com/i/teamlogos/mlb/500/col.png,Rockies
Comerica Park,Detroit Tigers,tigers,DET,https://a.espncdn.com/i/teamlogos/mlb/500/det.png,DetroitRoots
Minute Maid Park,Houston Astros,astros,HOU,https://a.espncdn.com/i/teamlogos/mlb/500/hou.png,ForTheH
Kauffman Stadium,Kansas City Royals,royals,KC,https://a.espncdn.com/i/teamlogos/mlb/500/kc.png,TogetherRoyal
Dodger Stadium,Los Angeles Dodgers,dodgers,LAD,https://a.espncdn.com/i/teamlogos/mlb/500/lad.png,Dodgers
Angel Stadium,Los Angeles Angels,angels,LAA,https://a.espncdn.com/i/teamlogos/mlb/500/laa.png,WeBelieve
LoanDepot Park,Miami Marlins,marlins,MIA,https://a.espncdn.com/i/teamlogos/mlb/500/mia.png,JuntosMiami
American Family Field,Milwaukee Brewers,brewers,MIL,https://a.espncdn.com/i/teamlogos/mlb/500/mil.png,ThisIsMyCrew
Target Field,Minnesota Twins,twins,MIN,https://a.espncdn.com/i/teamlogos/mlb/500/min.png,MNTwins
Citi Field,New York Mets,mets,NYM,https://a.espncdn.com/i/teamlogos/mlb/500/nym.png,LGM
Yankee Stadium,New York Yankees,yankees,NYY,https://a.espncdn.com/i/teamlogos/mlb/500/nyy.png,SquadUp
RingCentral Coliseum,Oakland Athletics,athletics,OAK,https://a.espncdn.com/i/teamlogos/mlb/500/oak.png,RiseAndGrind
Citizens Bank Park,Philadelphia Phillies,phillies,PHI,https://a.espncdn.com/i/teamlogos/mlb/500/phi.png,RingTheBell
PNC Park,Pittsburgh Pirates,pirates,PIT,https://a.espncdn.com/i/teamlogos/mlb/500/pit.png,LetsGoBucs
Petco Park,San Diego Padres,padres,SD,https://a.espncdn.com/i/teamlogos/mlb/500/sd.png,HungryForMore
Oracle Park,San Francisco Giants,giants,SF,https://a.espncdn.com/i/teamlogos/mlb/500/sf.png,ResilientSF
T-Mobile Park,Seattle Mariners,mariners,SEA,https://a.espncdn.com/i/teamlogos/mlb/500/sea.png,SeaUsRise
Busch Stadium,St. Louis Cardinals,cardinals,STL,https://a.espncdn.com/i/teamlogos/mlb/500/stl.png,STLfly
Tropicana Field,Tampa Bay Rays,rays,TB,https://a.espncdn.com/i/teamlogos/mlb/500/tb.png,RaysUp
Globe Life Field,Texas Rangers,rangers,TEX,https://a.espncdn.com/i/teamlogos/mlb/500/tex.png,StraightUpTX
Rogers Centre,Toronto Blue Jays,blue_jays,TOR,https://a.espncdn.com/i/teamlogos/mlb/500/tor.png,WeAreBlueJays
Nationals Park,Washington Nationals,nationals,WAS,https://a.espncdn.com/i/teamlogos/mlb/500/was.png,NATITUDE